index,normal5Price,resourceGroupName
299,15000,"5座经济15000+5座舒适16250+7座30000+9座37500+12座47500+14座50000+19座61250"
300,15050,"5座经济15050+5座舒适16350+7座30100+9座37650+12座47700+14座50200+19座61500"
301,15100,"5座经济15100+5座舒适16400+7座30200+9座37750+12座47850+14座50350+19座61700"
302,15150,"5座经济15150+5座舒适16450+7座30300+9座37900+12座48000+14座50500+19座61900"
303,15200,"5座经济15200+5座舒适16500+7座30400+9座38000+12座48150+14座50700+19座62100"
304,15250,"5座经济15250+5座舒适16550+7座30500+9座38150+12座48300+14座50850+19座62300"
305,15300,"5座经济15300+5座舒适16600+7座30600+9座38250+12座48450+14座51000+19座62500"
306,15350,"5座经济15350+5座舒适16650+7座30700+9座38400+12座48650+14座51200+19座62700"
307,15400,"5座经济15400+5座舒适16700+7座30800+9座38500+12座48800+14座51350+19座62900"
308,15450,"5座经济15450+5座舒适16750+7座30900+9座38650+12座48950+14座51500+19座63100"
309,15500,"5座经济15500+5座舒适16800+7座31000+9座38750+12座49100+14座51700+19座63300"
310,15550,"5座经济15550+5座舒适16850+7座31100+9座38900+12座49250+14座51850+19座63500"
311,15600,"5座经济15600+5座舒适16900+7座31200+9座39000+12座49400+14座52000+19座63700"
312,15650,"5座经济15650+5座舒适17000+7座31300+9座39150+12座49600+14座52200+19座63950"
313,15700,"5座经济15700+5座舒适17050+7座31400+9座39250+12座49750+14座52350+19座64150"
314,15750,"5座经济15750+5座舒适17100+7座31500+9座39400+12座49900+14座52500+19座64350"
315,15800,"5座经济15800+5座舒适17150+7座31600+9座39500+12座50050+14座52700+19座64550"
316,15850,"5座经济15850+5座舒适17200+7座31700+9座39650+12座50200+14座52850+19座64750"
317,15900,"5座经济15900+5座舒适17250+7座31800+9座39750+12座50350+14座53000+19座64950"
318,15950,"5座经济15950+5座舒适17300+7座31900+9座39900+12座50550+14座53200+19座65150"
319,16000,"5座经济16000+5座舒适17350+7座32000+9座40000+12座50700+14座53350+19座65350"
320,16050,"5座经济16050+5座舒适17400+7座32100+9座40150+12座50850+14座53500+19座65550"
321,16100,"5座经济16100+5座舒适17450+7座32200+9座40250+12座51000+14座53700+19座65750"
322,16150,"5座经济16150+5座舒适17500+7座32300+9座40400+12座51150+14座53850+19座65950"
323,16200,"5座经济16200+5座舒适17550+7座32400+9座40500+12座51300+14座54000+19座66150"
324,16250,"5座经济16250+5座舒适17650+7座32500+9座40650+12座51500+14座54200+19座66400"
325,16300,"5座经济16300+5座舒适17700+7座32600+9座40750+12座51650+14座54350+19座66600"
326,16350,"5座经济16350+5座舒适17750+7座32700+9座40900+12座51800+14座54500+19座66800"
327,16400,"5座经济16400+5座舒适17800+7座32800+9座41000+12座51950+14座54700+19座67000"
328,16450,"5座经济16450+5座舒适17850+7座32900+9座41150+12座52100+14座54850+19座67200"
329,16500,"5座经济16500+5座舒适17900+7座33000+9座41250+12座52250+14座55000+19座67400"
330,16550,"5座经济16550+5座舒适17950+7座33100+9座41400+12座52450+14座55200+19座67600"
331,16600,"5座经济16600+5座舒适18000+7座33200+9座41500+12座52600+14座55350+19座67800"
332,16650,"5座经济16650+5座舒适18050+7座33300+9座41650+12座52750+14座55500+19座68000"
333,16700,"5座经济16700+5座舒适18100+7座33400+9座41750+12座52900+14座55700+19座68200"
334,16750,"5座经济16750+5座舒适18150+7座33500+9座41900+12座53050+14座55850+19座68400"
335,16800,"5座经济16800+5座舒适18200+7座33600+9座42000+12座53200+14座56000+19座68600"
336,16850,"5座经济16850+5座舒适18300+7座33700+9座42150+12座53400+14座56200+19座68850"
337,16900,"5座经济16900+5座舒适18350+7座33800+9座42250+12座53550+14座56350+19座69050"
338,16950,"5座经济16950+5座舒适18400+7座33900+9座42400+12座53700+14座56500+19座69250"
339,17000,"5座经济17000+5座舒适18450+7座34000+9座42500+12座53850+14座56700+19座69450"
340,17050,"5座经济17050+5座舒适18500+7座34100+9座42650+12座54000+14座56850+19座69650"
341,17100,"5座经济17100+5座舒适18550+7座34200+9座42750+12座54150+14座57000+19座69850"
342,17150,"5座经济17150+5座舒适18600+7座34300+9座42900+12座54350+14座57200"
343,17200,"5座经济17200+5座舒适18650+7座34400+9座43000+12座54500+14座57350"
344,17250,"5座经济17250+5座舒适18700+7座34500+9座43150+12座54650+14座57500"
345,17300,"5座经济17300+5座舒适18750+7座34600+9座43250+12座54800+14座57700"
346,17350,"5座经济17350+5座舒适18800+7座34700+9座43400+12座54950+14座57850"
347,17400,"5座经济17400+5座舒适18850+7座34800+9座43500+12座55100+14座58000"
348,17450,"5座经济17450+5座舒适18950+7座34900+9座43650+12座55300+14座58200"
349,17500,"5座经济17500+5座舒适19000+7座35000+9座43750+12座55450+14座58350"
350,17550,"5座经济17550+5座舒适19050+7座35100+9座43900+12座55600+14座58500"
351,17600,"5座经济17600+5座舒适19100+7座35200+9座44000+12座55750+14座58700"
352,17650,"5座经济17650+5座舒适19150+7座35300+9座44150+12座55900+14座58850"
353,17700,"5座经济17700+5座舒适19200+7座35400+9座44250+12座56050+14座59000"
354,17750,"5座经济17750+5座舒适19250+7座35500+9座44400+12座56250+14座59200"
355,17800,"5座经济17800+5座舒适19300+7座35600+9座44500+12座56400+14座59350"
356,17850,"5座经济17850+5座舒适19350+7座35700+9座44650+12座56550+14座59500"
357,17900,"5座经济17900+5座舒适19400+7座35800+9座44750+12座56700+14座59700"
358,17950,"5座经济17950+5座舒适19450+7座35900+9座44900+12座56850+14座59850"
359,18000,"5座经济18000+5座舒适19500+7座36000+9座45000+12座57000+14座60000"
360,18050,"5座经济18050+5座舒适19600+7座36100+9座45150+12座57200+14座60200"
361,18100,"5座经济18100+5座舒适19650+7座36200+9座45250+12座57350+14座60350"
362,18150,"5座经济18150+5座舒适19700+7座36300+9座45400+12座57500+14座60500"
363,18200,"5座经济18200+5座舒适19750+7座36400+9座45500+12座57650+14座60700"
364,18250,"5座经济18250+5座舒适19800+7座36500+9座45650+12座57800+14座60850"
365,18300,"5座经济18300+5座舒适19850+7座36600+9座45750+12座57950+14座61000"
366,18350,"5座经济18350+5座舒适19900+7座36700+9座45900+12座58150+14座61200"
367,18400,"5座经济18400+5座舒适19950+7座36800+9座46000+12座58300+14座61350"
368,18450,"5座经济18450+5座舒适20000+7座36900+9座46150+12座58450+14座61500"
369,18500,"5座经济18500+5座舒适20050+7座37000+9座46250+12座58600+14座61700"
370,18550,"5座经济18550+5座舒适20100+7座37100+9座46400+12座58750+14座61850"
371,18600,"5座经济18600+5座舒适20150+7座37200+9座46500+12座58900+14座62000"
372,18650,"5座经济18650+5座舒适20250+7座37300+9座46650+12座59100+14座62200"
373,18700,"5座经济18700+5座舒适20300+7座37400+9座46750+12座59250+14座62350"
374,18750,"5座经济18750+5座舒适20350+7座37500+9座46900+12座59400+14座62500"
375,18800,"5座经济18800+5座舒适20400+7座37600+9座47000+12座59550+14座62700"
376,18850,"5座经济18850+5座舒适20450+7座37700+9座47150+12座59700+14座62850"
377,18900,"5座经济18900+5座舒适20500+7座37800+9座47250+12座59850+14座63000"
378,18950,"5座经济18950+5座舒适20550+7座37900+9座47400+12座60050+14座63200"
379,19000,"5座经济19000+5座舒适20600+7座38000+9座47500+12座60200+14座63350"
380,19050,"5座经济19050+5座舒适20650+7座38100+9座47650+12座60350+14座63500"
381,19100,"5座经济19100+5座舒适20700+7座38200+9座47750+12座60500+14座63700"
382,19150,"5座经济19150+5座舒适20750+7座38300+9座47900+12座60650+14座63850"
383,19200,"5座经济19200+5座舒适20800+7座38400+9座48000+12座60800+14座64000"
384,19250,"5座经济19250+5座舒适20900+7座38500+9座48150+12座61000+14座64200"
385,19300,"5座经济19300+5座舒适20950+7座38600+9座48250+12座61150+14座64350"
386,19350,"5座经济19350+5座舒适21000+7座38700+9座48400+12座61300+14座64500"
387,19400,"5座经济19400+5座舒适21050+7座38800+9座48500+12座61450+14座64700"
388,19450,"5座经济19450+5座舒适21100+7座38900+9座48650+12座61600+14座64850"
389,19500,"5座经济19500+5座舒适21150+7座39000+9座48750+12座61750+14座65000"
390,19550,"5座经济19550+5座舒适21200+7座39100+9座48900+12座61950+14座65200"
391,19600,"5座经济19600+5座舒适21250+7座39200+9座49000+12座62100+14座65350"
392,19650,"5座经济19650+5座舒适21300+7座39300+9座49150+12座62250+14座65500"
393,19700,"5座经济19700+5座舒适21350+7座39400+9座49250+12座62400+14座65700"
394,19750,"5座经济19750+5座舒适21400+7座39500+9座49400+12座62550+14座65850"
395,19800,"5座经济19800+5座舒适21450+7座39600+9座49500+12座62700+14座66000"
396,19850,"5座经济19850+5座舒适21550+7座39700+9座49650+12座62900+14座66200"
397,19900,"5座经济19900+5座舒适21600+7座39800+9座49750+12座63050+14座66350"
398,19950,"5座经济19950+5座舒适21650+7座39900+9座49900+12座63200+14座66500"
399,20000,"5座经济20000+5座舒适21700+7座40000+9座50000+12座63350+14座66700"
400,20050,"5座经济20050+5座舒适21750+7座40100+9座50150+12座63500+14座66850"
401,20100,"5座经济20100+5座舒适21800+7座40200+9座50250+12座63650+14座67000"
402,20150,"5座经济20150+5座舒适21850+7座40300+9座50400+12座63850+14座67200"
403,20200,"5座经济20200+5座舒适21900+7座40400+9座50500+12座64000+14座67350"
404,20250,"5座经济20250+5座舒适21950+7座40500+9座50650+12座64150+14座67500"
405,20300,"5座经济20300+5座舒适22000+7座40600+9座50750+12座64300+14座67700"
406,20350,"5座经济20350+5座舒适22050+7座40700+9座50900+12座64450+14座67850"
407,20400,"5座经济20400+5座舒适22100+7座40800+9座51000+12座64600+14座68000"
408,20450,"5座经济20450+5座舒适22200+7座40900+9座51150+12座64800+14座68200"
409,20500,"5座经济20500+5座舒适22250+7座41000+9座51250+12座64950+14座68350"
410,20550,"5座经济20550+5座舒适22300+7座41100+9座51400+12座65100+14座68500"
411,20600,"5座经济20600+5座舒适22350+7座41200+9座51500+12座65250+14座68700"
412,20650,"5座经济20650+5座舒适22400+7座41300+9座51650+12座65400+14座68850"
413,20700,"5座经济20700+5座舒适22450+7座41400+9座51750+12座65550+14座69000"
414,20750,"5座经济20750+5座舒适22500+7座41500+9座51900+12座65750+14座69200"
415,20800,"5座经济20800+5座舒适22550+7座41600+9座52000+12座65900+14座69350"
416,20850,"5座经济20850+5座舒适22600+7座41700+9座52150+12座66050+14座69500"
417,20900,"5座经济20900+5座舒适22650+7座41800+9座52250+12座66200+14座69700"
418,20950,"5座经济20950+5座舒适22700+7座41900+9座52400+12座66350+14座69850"
419,21000,"5座经济21000+5座舒适22750+7座42000+9座52500+12座66500+14座70000"
420,21050,"5座经济21050+5座舒适22850+7座42100+9座52650+12座66700"
421,21100,"5座经济21100+5座舒适22900+7座42200+9座52750+12座66850"
422,21150,"5座经济21150+5座舒适22950+7座42300+9座52900+12座67000"
423,21200,"5座经济21200+5座舒适23000+7座42400+9座53000+12座67150"
424,21250,"5座经济21250+5座舒适23050+7座42500+9座53150+12座67300"
425,21300,"5座经济21300+5座舒适23100+7座42600+9座53250+12座67450"
426,21350,"5座经济21350+5座舒适23150+7座42700+9座53400+12座67650"
427,21400,"5座经济21400+5座舒适23200+7座42800+9座53500+12座67800"
428,21450,"5座经济21450+5座舒适23250+7座42900+9座53650+12座67950"
429,21500,"5座经济21500+5座舒适23300+7座43000+9座53750+12座68100"
430,21550,"5座经济21550+5座舒适23350+7座43100+9座53900+12座68250"
431,21600,"5座经济21600+5座舒适23400+7座43200+9座54000+12座68400"
432,21650,"5座经济21650+5座舒适23500+7座43300+9座54150+12座68600"
433,21700,"5座经济21700+5座舒适23550+7座43400+9座54250+12座68750"
434,21750,"5座经济21750+5座舒适23600+7座43500+9座54400+12座68900"
435,21800,"5座经济21800+5座舒适23650+7座43600+9座54500+12座69050"
436,21850,"5座经济21850+5座舒适23700+7座43700+9座54650+12座69200"
437,21900,"5座经济21900+5座舒适23750+7座43800+9座54750+12座69350"
438,21950,"5座经济21950+5座舒适23800+7座43900+9座54900+12座69550"
439,22000,"5座经济22000+5座舒适23850+7座44000+9座55000+12座69700"
440,22050,"5座经济22050+5座舒适23900+7座44100+9座55150+12座69850"
441,22100,"5座经济22100+5座舒适23950+7座44200+9座55250+12座70000"
442,22150,"5座经济22150+5座舒适24000+7座44300+9座55400"
443,22200,"5座经济22200+5座舒适24050+7座44400+9座55500"
444,22250,"5座经济22250+5座舒适24150+7座44500+9座55650"
445,22300,"5座经济22300+5座舒适24200+7座44600+9座55750"
446,22350,"5座经济22350+5座舒适24250+7座44700+9座55900"
447,22400,"5座经济22400+5座舒适24300+7座44800+9座56000"
448,22450,"5座经济22450+5座舒适24350+7座44900+9座56150"
449,22500,"5座经济22500+5座舒适24400+7座45000+9座56250"
450,22550,"5座经济22550+5座舒适24450+7座45100+9座56400"
451,22600,"5座经济22600+5座舒适24500+7座45200+9座56500"
452,22650,"5座经济22650+5座舒适24550+7座45300+9座56650"
453,22700,"5座经济22700+5座舒适24600+7座45400+9座56750"
454,22750,"5座经济22750+5座舒适24650+7座45500+9座56900"
455,22800,"5座经济22800+5座舒适24700+7座45600+9座57000"
456,22850,"5座经济22850+5座舒适24800+7座45700+9座57150"
457,22900,"5座经济22900+5座舒适24850+7座45800+9座57250"
458,22950,"5座经济22950+5座舒适24900+7座45900+9座57400"
459,23000,"5座经济23000+5座舒适24950+7座46000+9座57500"
460,23050,"5座经济23050+5座舒适25000+7座46100+9座57650"
461,23100,"5座经济23100+5座舒适25050+7座46200+9座57750"
462,23150,"5座经济23150+5座舒适25100+7座46300+9座57900"
463,23200,"5座经济23200+5座舒适25150+7座46400+9座58000"
464,23250,"5座经济23250+5座舒适25200+7座46500+9座58150"
465,23300,"5座经济23300+5座舒适25250+7座46600+9座58250"
466,23350,"5座经济23350+5座舒适25300+7座46700+9座58400"
467,23400,"5座经济23400+5座舒适25350+7座46800+9座58500"
468,23450,"5座经济23450+5座舒适25450+7座46900+9座58650"
469,23500,"5座经济23500+5座舒适25500+7座47000+9座58750"
470,23550,"5座经济23550+5座舒适25550+7座47100+9座58900"
471,23600,"5座经济23600+5座舒适25600+7座47200+9座59000"
472,23650,"5座经济23650+5座舒适25650+7座47300+9座59150"
473,23700,"5座经济23700+5座舒适25700+7座47400+9座59250"
474,23750,"5座经济23750+5座舒适25750+7座47500+9座59400"
475,23800,"5座经济23800+5座舒适25800+7座47600+9座59500"
476,23850,"5座经济23850+5座舒适25850+7座47700+9座59650"
477,23900,"5座经济23900+5座舒适25900+7座47800+9座59750"
478,23950,"5座经济23950+5座舒适25950+7座47900+9座59900"
479,24000,"5座经济24000+5座舒适26000+7座48000+9座60000"
480,24050,"5座经济24050+5座舒适26100+7座48100+9座60150"
481,24100,"5座经济24100+5座舒适26150+7座48200+9座60250"
482,24150,"5座经济24150+5座舒适26200+7座48300+9座60400"
483,24200,"5座经济24200+5座舒适26250+7座48400+9座60500"
484,24250,"5座经济24250+5座舒适26300+7座48500+9座60650"
485,24300,"5座经济24300+5座舒适26350+7座48600+9座60750"
486,24350,"5座经济24350+5座舒适26400+7座48700+9座60900"
487,24400,"5座经济24400+5座舒适26450+7座48800+9座61000"
488,24450,"5座经济24450+5座舒适26500+7座48900+9座61150"
489,24500,"5座经济24500+5座舒适26550+7座49000+9座61250"
490,24550,"5座经济24550+5座舒适26600+7座49100+9座61400"
491,24600,"5座经济24600+5座舒适26650+7座49200+9座61500"
492,24650,"5座经济24650+5座舒适26750+7座49300+9座61650"
493,24700,"5座经济24700+5座舒适26800+7座49400+9座61750"
494,24750,"5座经济24750+5座舒适26850+7座49500+9座61900"
495,24800,"5座经济24800+5座舒适26900+7座49600+9座62000"
496,24850,"5座经济24850+5座舒适26950+7座49700+9座62150"
497,24900,"5座经济24900+5座舒适27000+7座49800+9座62250"
498,24950,"5座经济24950+5座舒适27050+7座49900+9座62400"
499,25000,"5座经济25000+5座舒适27100+7座50000+9座62500"
500,25050,"5座经济25050+5座舒适27150+7座50100+9座62650"
501,25100,"5座经济25100+5座舒适27200+7座50200+9座62750"
502,25150,"5座经济25150+5座舒适27250+7座50300+9座62900"
503,25200,"5座经济25200+5座舒适27300+7座50400+9座63000"
504,25250,"5座经济25250+5座舒适27400+7座50500+9座63150"
505,25300,"5座经济25300+5座舒适27450+7座50600+9座63250"
506,25350,"5座经济25350+5座舒适27500+7座50700+9座63400"
507,25400,"5座经济25400+5座舒适27550+7座50800+9座63500"
508,25450,"5座经济25450+5座舒适27600+7座50900+9座63650"
509,25500,"5座经济25500+5座舒适27650+7座51000+9座63750"
510,25550,"5座经济25550+5座舒适27700+7座51100+9座63900"
511,25600,"5座经济25600+5座舒适27750+7座51200+9座64000"
512,25650,"5座经济25650+5座舒适27800+7座51300+9座64150"
513,25700,"5座经济25700+5座舒适27850+7座51400+9座64250"
514,25750,"5座经济25750+5座舒适27900+7座51500+9座64400"
515,25800,"5座经济25800+5座舒适27950+7座51600+9座64500"
516,25850,"5座经济25850+5座舒适28050+7座51700+9座64650"
517,25900,"5座经济25900+5座舒适28100+7座51800+9座64750"
518,25950,"5座经济25950+5座舒适28150+7座51900+9座64900"
519,26000,"5座经济26000+5座舒适28200+7座52000+9座65000"
520,26050,"5座经济26050+5座舒适28250+7座52100+9座65150"
521,26100,"5座经济26100+5座舒适28300+7座52200+9座65250"
522,26150,"5座经济26150+5座舒适28350+7座52300+9座65400"
523,26200,"5座经济26200+5座舒适28400+7座52400+9座65500"
524,26250,"5座经济26250+5座舒适28450+7座52500+9座65650"
525,26300,"5座经济26300+5座舒适28500+7座52600+9座65750"
526,26350,"5座经济26350+5座舒适28550+7座52700+9座65900"
527,26400,"5座经济26400+5座舒适28600+7座52800+9座66000"
528,26450,"5座经济26450+5座舒适28700+7座52900+9座66150"
529,26500,"5座经济26500+5座舒适28750+7座53000+9座66250"
530,26550,"5座经济26550+5座舒适28800+7座53100+9座66400"
531,26600,"5座经济26600+5座舒适28850+7座53200+9座66500"
532,26650,"5座经济26650+5座舒适28900+7座53300+9座66650"
533,26700,"5座经济26700+5座舒适28950+7座53400+9座66750"
534,26750,"5座经济26750+5座舒适29000+7座53500+9座66900"
535,26800,"5座经济26800+5座舒适29050+7座53600+9座67000"
536,26850,"5座经济26850+5座舒适29100+7座53700+9座67150"
537,26900,"5座经济26900+5座舒适29150+7座53800+9座67250"
538,26950,"5座经济26950+5座舒适29200+7座53900+9座67400"
539,27000,"5座经济27000+5座舒适29250+7座54000+9座67500"
540,27050,"5座经济27050+5座舒适29350+7座54100+9座67650"
541,27100,"5座经济27100+5座舒适29400+7座54200+9座67750"
542,27150,"5座经济27150+5座舒适29450+7座54300+9座67900"
543,27200,"5座经济27200+5座舒适29500+7座54400+9座68000"
544,27250,"5座经济27250+5座舒适29550+7座54500+9座68150"
545,27300,"5座经济27300+5座舒适29600+7座54600+9座68250"
546,27350,"5座经济27350+5座舒适29650+7座54700+9座68400"
547,27400,"5座经济27400+5座舒适29700+7座54800+9座68500"
548,27450,"5座经济27450+5座舒适29750+7座54900+9座68650"
549,27500,"5座经济27500+5座舒适29800+7座55000+9座68750"
